"itempicture",Name,Unit Price,"TotalQuantity",Quantity Florida,"QuantityNew Jersey","***PAINTED ITEMSFlyDeltaKaleido LowKaleido HighCobraLuckyBobinoThalis","NYC COBRA HAS MIDDLE(STRAIGHT PIECE)FLORIDA HAS CORNER AS AMIDDLE PIECE",item,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Total,Unnamed: 4,Unnamed: 5,Quantity,Unnamed: 6,***PAINTED ITEMS
,charles barstool white (we have mix of,r$è m   e  )       15.00,169.0,87.0,82.0,,,,,,,,,,,,,
,charles barstool red,$             15.00,116.0,41.0,75.0,,,,,,,,,,,,,
,Tables,,,,,,,,,,,,,,,,,
,soho black,$           550.00,58.0,21.0,37.0,,,,,,,,,,,,,
,soho white,$           550.00,24.0,14.0,10.0,,,,,,,,,,,,,
,soho gold,$           550.00,31.0,10.0,21.0,,,,,,,,,,,,,
,soho silver,$           550.00,38.0,28.0,10.0,,,,,,,,,,,,,
,mirage gold and black  VINYL TOPS,$           550.00,24.0,14.0,10.0,,,,,,,,,,,,,
,mirage gold and white VINLY TOPS,$           550.00,24.0,14.0,10.0,,,,,,,,,,,,,
,mirage gold/gold VINYL TOPS,$           550.00,24.0,14.0,10.0,,,,,,,,,,,,,
,mirage silver/silver VINYL TOPS,$           550.00,35.0,25.0,10.0,,,,,,,,,,,,,
,mirahe silver white VINLY TOPS,$           550.00,35.0,25.0,10.0,,,,,,,,,,,,,
,mirage silver black VINLY TOPS,$          550.00,28.0,18.0,10.0,,,,,,,,,,,,,
,mirage black,$          550.00,33.0,23.0,10.0,,,,,,,,,,,,,
,mirage white,$          550.00,40.0,20.0,20.0,,,,,,,,,,,,,
,mirage gold,$           550.00,24.0,14.0,10.0,,,,,,,,,,,,,
,mirage silver,$           550.00,37.0,25.0,12.0,,,,,,,,,,,,,
,supernova silver,$           390.00,18.0,9.0,9.0,,,,,,,,,,,,,
,supernova gold,$           390.00,19.0,7.0,12.0,,,,,,,,,,,,,
,centaurus (gold is now painted),$          450.00,12.0,2.0,10.0,,,,,,,,,,,,,
,centaur,$           450.00,14.0,4.0,10.0,,,,,,,,,,,,,
,Dulceria FRAME,$          590.00,6.0,4.0,2.0,,,,,,,,,,,,,
,dulceria gold black,$           590.00,3.0,2.0,1.0,,,,,,,,,,,,,
